Fayda,Bitkiler
Solunum yolu sağlığını destekler ve solunum yollarını rahatlatır,"Sarımsak, Soğan, Anadolu Adaçayı, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Sedef Otu, Siyah Hardal Tohumu, Su Nanesi, Tatlı Mercanköşk, Tıbbi Nane, Okaliptüs, Kafur, Laden, Ebegümeci, Ihlamur, Afrika Sardunyası, Mersin, Karanfil, Yenibahar, Mercanköşk, Çemen, Hardal Tohumu"
Vücuttaki ödemin atılmasını destekleyen diüretik (idrar söktürücü) etki sağlar,"Sarımsak, Soğan, Hibiskus, Anadolu Adaçayı, Hayıt, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Yalancı Aslanpençesi, Tarla Aslanpençesi, Tıbbi Aslanpençesi, Çay, Ihlamur, Kola, Melek Otu, Adaçayı, Çayır Düğmesi, Kızıl Yonca"
"Cilt sağlığını destekler, doku onarımını ve yenilenmesini hızlandırır","Üzüm, Yalancı Papatya, Anadolu Adaçayı, Çayır Üçgülü, Tıbbi Aslanpençesi, Yumuşak Aslanpençesi, Tarla Lahanası Tohum Yağı, Sarı Yeşil Aslanpençesi, Çay, Kola, Nar, Siyah Hardal Tohumu, Ebegümeci, Sarı Kantaron, Afrika Sardunyası, Gotu Kola, Tatlı Mercanköşk, Aslanpençesi, Çemen, Büyük Çayır Düğmesi, Karanfil, Sardunya Robert, Hardal Tohumu, Adaçayı, Mercanköşk, Nane, Itır Otu, Kızıl Yonca, Yenibahar, Kırmızı Yonca, Kokar Sedefotu, Kafur, Turnagagası, Hayıt, Küçük Çayır Düğmesi, Testere Dişli Aslanpençesi"
Virüslere karşı güçlü antiviral koruma sağlar,"Lahana Sebzeleri, Hayıt"
Vücuttaki toksinlerin atılmasına yardımcı olur ve detoks etkisi sağlar,"Tarla Lahanası, Sedef Otu, Hayıt"
Göz sağlığını korur ve görme fonksiyonlarını destekler,Jaborandi Yaprağı
Ağız ve diş sağlığını destekleyerek antiseptik koruma sağlar,"Karanfil Esansı, Tıbbi Nane, Karanfil, Yenibahar, Aslanpençesi"
Düşük yaptırıcı (abortifasif) etki gösterebilir,"Sedef Otu, Pamuk Kök Kabuğu"
Enerji seviyelerini ve fiziksel dayanıklılığı artırır,"Beyaz Biber, Üzerlik, Kola"
Kemik mineral yoğunluğunu ve iskelet sağlığını destekler,"Karanfil, Hayıt"
Uyku kalitesini artırır ve uykusuzluk problemlerini gidermeye yardımcı olur,"Yenibahar, Mercanköşk, Aslanpençesi, Lavanta, Papatya"
Üriner sistem sağlığını destekler ve doğal diüretik etkisiyle ödem atılmasına yardımcı olur,"Hardal Tohumu, Aslanpençesi, Yenibahar, Hayıt, Çayır Düğmesi, Yabani Zencefil, Çoban Püskülü, Afşar Otu, Kızıl Yonca, Büyük Çayır Düğmesi"
Saç sağlığını destekler ve saç dökülmesini önlemeye yardımcı olur,"Karanfil, Çemen, Hardal Tohumu"
Emetik (kusturucu) etki gösterir,"Avrupa Yabani Zencefili, İpeka Kökü"
Bağışıklık sistemini güçlendirir ve enfeksiyonlara karşı antimikrobiyal koruma sağlar,"Karanfil, Yenibahar, Seylan Tarçını, Itır Otu, Kızıl Yonca, Çoban Püskülü, Kırmızı Yonca, Beyaz Biber, Kafur, Adaçayı, Nane, Mercanköşk, Kekik"
Solunum yolu sağlığını destekler ve enfeksiyon semptomlarını hafifletir,"Adaçayı, Karanfil, Mercanköşk, Nane, Yenibahar, Yabani Zencefil, Kafur, Kızıl Yonca, Hardal Tohumu, Karanfil Çayı, Çayır Düğmesi, Beyaz Biber, Kırmızı Yonca, Afşar Otu"
"Ağız ve diş sağlığını korur, diş ağrılarını hafifletir","Adaçayı, Karanfil, Yenibahar, Yabani Zencefil, Beyaz Biber, Hardal Tohumu"
Vücuttaki inflamasyonu azaltmaya yardımcı olur (Anti-enflamatuar etki),"Karanfil, Mercanköşk, Yenibahar, Seylan Tarçını, Itır Otu, Kızıl Yonca, Çoban Püskülü"
"Kalp ve damar sağlığını korur, kan dolaşımını ve tansiyonu düzenler","Adaçayı, Yenibahar, Seylan Tarçını, Siyah Hardal Tohumu, Kızıl Yonca, Çoban Püskülü, Yabani Zencefil, Beyaz Biber, Turnagagası, Hardal Tohumu, Kafur (Masaj Kremi)"
Hormonal dengeyi sağlar ve üreme sağlığını düzenler,"Adaçayı, Hayıt Otu, Hayıt, Testere Dişli Aslanpençesi, Turnagagası, Kokar Sedef Otu, Kırmızı Yonca, Çayır Düğmesi, Çemen Otu"
"Sinir sistemini yatıştırır, stres ve anksiyete seviyelerini azaltmaya yardımcı olur","Adaçayı, Karanfil, Hayıt Otu, Nane, Lavanta, Palo Santo, Sandal Ağacı, Mercanköşk, Hayıt, Tarçın, Çemen Otu, Turnagagası"
Kan dindirici ve doku büzücü (astrenjan) etki sağlar,"Adaçayı, Çayır Düğmesi, Itır Otu, Testere Dişli Aslanpençesi"
Karaciğer sağlığını korur ve vücudun detoks süreçlerini destekler,"Su Nanesi, Karanfil, Itır Otu"
Hücre yenilenmesini destekler ve antioksidan koruma sağlayarak hücresel hasarı önler,"Karanfil, Anadolu Adaçayı, Kırmızı Yonca, Beyaz Biber, Gümüş Adaçayı, Itır Otu, Çemen Otu"
